ledPosition,type,orientation,depth
1,footchip,315,2
2,footchip,315,2
3,footchip,90,1
4,footchip,0,1
5,footchip,300,1
6,footchip,45,2
7,footchip,60,2
8,footchip,300,1
9,footchip,0,1
10,footchip,0,1
11,footchip,315,2
12,footchip,45,2
13,footchip,45,2
14,footchip,0,1
15,footchip,0,1
16,footchip,300,2
17,footchip,300,2
18,footchip,0,2
19,footchip,45,2
20,footchip,80,1
21,footchip,0,1
22,footchip,0,1
23,footchip,315,2
24,footchip,315,2
25,footchip,45,2
26,footchip,0,1
27,footchip,0,1
28,footchip,40,2
29,footchip,315,2
30,footchip,315,2
31,footchip,50,2
32,footchip,0,1
33,footchip,300,1
34,footchip,45,2
35,footchip,45,2
36,nan,nan,nan
37,crimp,0,2
38,footchip,40,2
39,pinch,90,2
40,footchip,45,2
41,pinch,90,2
42,footchip,0,2
43,crimp,0,3
44,footchip,0,2
45,crimp,0,2
46,footchip,50,2
47,crimp,300,3
48,footchip,20,2
49,jug,340,3
50,footchip,40,2
51,crimp,315,2
52,footchip,40,2
53,jug,0,2
54,footchip,70,2
55,jug,0,1
56,footchip,40,2
57,jug,0,2
58,footchip,45,2
59,crimp,315,3
60,footchip,80,2
61,jug,0,3
62,footchip,80,2
63,jug,315,2
64,footchip,30,2
65,crimp,30,3
66,footchip,40,2
67,pinch,45,3
68,crimp,0,3
69,jug,45,3
70,jug,0,2
71,crimp,0,3
72,crimp,10,3
73,footchip,0,2
74,crimp,270,3
75,jug,60,2
76,footchip,70,2
77,pinch,90,2
78,crimp,30,3
79,footchip,315,2
80,crimp,280,3
81,crimp,0,2
82,footchip,310,2
83,crimp,270,3
84,jug,45,2
85,footchip,45,2
86,jug,300,2
87,pinch,90,1
88,footchip,0,2
89,jug,350,1
90,jug,0,2
91,footchip,40,2
92,crimp,280,3
93,crimp,350,3
94,footchip,0,2
95,crimp,315,3
96,crimp,0,3
97,jug,180,2
98,footchip,0,1
99,jug,270,1
100,jug,160,3
101,footchip,80,2
102,crimp,0,3
103,jug,200,2
104,footchip,45,2
105,crimp,0,3
106,jug,180,2
107,footchip,0,1
108,pinch,45,3
109,jug,180,3
110,footchip,30,2
111,jug,340,2
112,jug,220,3
113,footchip,0,1
114,jug,290,1
115,crimp,0,3
116,footchip,45,2
117,crimp,90,3
118,jug,45,3
119,crimp,0,2
120,crimp,0,3
121,jug,0,2
122,crimp,315,2
123,jug,55,2
124,footchip,55,2
125,jug,300,3
126,crimp,280,3
127,footchip,0,2
128,jug,0,2
129,jug,270,3
130,footchip,40,2
131,pinch,315,2
132,jug,60,2
133,footchip,350,2
134,jug,315,1
135,sloper,0,2
136,footchip,20,2
137,jug,270,1
138,crimp,315,3
139,footchip,45,2
140,jug,0,2
141,jug,0,3
142,footchip,10,2
143,pinch,80,2
144,crimp,0,3
145,footchip,0,2
146,crimp,300,3
147,crimp,300,2
148,jug,300,1
149,footchip,45,2
150,pinch,90,3
151,crimp,0,3
152,footchip,80,2
153,jug,90,2
154,jug,180,2
155,footchip,315,2
156,pinch,90,2
157,crimp,0,2
158,footchip,0,2
159,crimp,315,1
160,jug,315,2
161,footchip,80,2
162,jug,200,2
163,crimp,45,2
164,footchip,0,2
165,pinch,90,1
166,jug,280,3
167,footchip,350,2
168,pinch,90,2
169,crimp,0,3
170,jug,20,2
171,jug,80,3
172,jug,0,2
173,pinch,90,2
174,sloper,315,3
175,footchip,50,2
176,crimp,0,2
177,crimp,0,3
178,footchip,0,2
179,crimp,290,3
180,crimp,0,2
181,footchip,330,2
182,crimp,40,2
183,crimp,310,3
184,footchip,0,2
185,crimp,0,3
186,jug,20,2
187,footchip,0,1
188,crimp,60,2
189,crimp,280,3
190,footchip,0,2
191,jug,30,2
192,crimp,10,2
193,footchip,0,1
194,jug,270,1
195,jug,180,2
196,footchip,40,2
197,crimp,90,2
198,jug,0,2
199,crimp,0,2
200,footchip,310,2
201,crimp,0,3
202,crimp,280,3
203,footchip,0,2
204,jug,190,2
205,crimp,0,3
206,footchip,0,2
207,sloper,280,3
208,jug,280,2
209,footchip,0,2
210,pinch,280,1
211,crimp,30,2
212,footchip,350,2
213,jug,250,1
214,pinch,300,2
215,footchip,60,2
216,jug,30,2
217,jug,0,1
218,footchip,0,2
219,crimp,315,2
220,crimp,20,2
221,crimp,315,2
222,jug,310,3
223,crimp,0,3
224,crimp,0,3
225,crimp,0,1
226,footchip,0,2
227,jug,80,1
228,sloper,80,2
229,footchip,0,2
230,crimp,350,3
231,sloper,315,3
232,footchip,0,2
233,crimp,0,3
234,crimp,0,2
235,footchip,0,2
236,sloper,45,2
237,pinch,90,3
238,footchip,0,2
239,crimp,280,3
240,crimp,90,3
241,footchip,0,2
242,crimp,0,2
243,pinch,90,2
244,footchip,0,2
245,jug,0,2
246,jug,180,3
247,footchip,0,2
248,crimp,0,1
249,jug,270,1
250,crimp,90,2
251,footchip,20,2
252,jug,180,1
253,jug,180,3
254,footchip,0,2
255,crimp,0,3
256,crimp,0,2
257,footchip,0,2
258,sloper,0,3
259,jug,180,2
260,footchip,0,2
261,jug,0,2
262,jug,0,1
263,footchip,40,2
264,jug,180,3
265,pinch,90,1
266,footchip,0,2
267,jug,0,3
268,sloper,0,3
269,footchip,0,2
270,crimp,0,3
271,jug,0,3
272,crimp,0,2
273,jug,0,3
274,crimp,0,2
275,crimp,300,3
276,jug,80,2
277,footchip,315,2
278,crimp,0,2
279,sloper,310,3
280,footchip,0,2
281,crimp,0,3
282,crimp,540,2
283,footchip,20,2
284,crimp,30,2
285,crimp,0,2
286,footchip,0,2
287,sloper,315,2
288,crimp,0,2
289,footchip,0,1
290,crimp,315,3
291,crimp,270,2
292,footchip,340,2
293,jug,180,1
294,sloper,0,2
295,footchip,0,1
296,jug,0,1
297,jug,180,2
298,footchip,350,2
299,pinch,90,3
300,crimp,50,2
301,crimp,280,3
302,footchip,330,2
303,crimp,180,3
304,crimp,0,2
305,footchip,340,2
306,crimp,10,3
307,jug,160,2
308,footchip,50,2
309,crimp,90,3
310,crimp,0,2
311,footchip,0,2
312,jug,45,2
313,crimp,10,2
314,footchip,270,2
315,crimp,270,3
316,pinch,60,3
317,footchip,280,2
318,jug,160,2
319,crimp,0,3
320,footchip,0,2
321,crimp,80,2
322,crimp,0,3
323,sloper,0,1
324,jug,80,3
325,jug,0,2
326,crimp,45,3
327,jug,10,1
328,footchip,280,2
329,crimp,10,1
330,crimp,45,2
331,footchip,0,2
332,crimp,315,3
333,crimp,0,2
334,footchip,0,2
335,sloper,0,2
336,pinch,60,2
337,footchip,60,2
338,crimp,0,3
339,crimp,0,2
340,footchip,0,2
341,crimp,0,1
342,pinch,90,2
343,footchip,290,2
344,jug,290,2
345,sloper,290,3
346,footchip,0,2
347,jug,90,1
348,crimp,80,3
349,footchip,0,2
350,crimp,260,3
351,pinch,90,2
352,jug,180,2
353,footchip,0,2
354,pinch,90,3
355,crimp,90,3
356,footchip,350,2
357,crimp,0,2
358,jug,160,2
359,footchip,315,2
360,sloper,315,3
361,jug,0,2
362,footchip,340,2
363,crimp,80,2
364,crimp,350,3
365,footchip,270,2
366,jug,160,2
367,jug,340,2
368,footchip,0,2
369,sloper,0,3
370,crimp,70,2
371,footchip,340,2
372,jug,270,3
373,pinch,45,2
374,crimp,315,3
375,jug,270,3
376,crimp,0,3
377,crimp,0,1
378,crimp,70,2
379,footchip,270,2
380,jug,0,2
381,crimp,0,3
382,footchip,0,2
383,crimp,0,2
384,crimp,80,2
385,footchip,0,1
386,crimp,0,1
387,crimp,80,3
388,footchip,0,2
389,jug,315,2
390,crimp,70,2
391,footchip,0,1
392,crimp,0,3
393,crimp,80,3
394,footchip,350,2
395,crimp,340,3
396,jug,0,2
397,footchip,0,1
398,crimp,0,2
399,crimp,50,2
400,footchip,300,2
401,crimp,90,2
402,crimp,0,3
403,jug,180,2
404,footchip,0,2
405,crimp,90,3
406,jug,180,3
407,footchip,0,2
408,pinch,90,2
409,jug,160,2
410,footchip,320,2
411,crimp,0,3
412,jug,70,2
413,footchip,0,2
414,crimp,70,3
415,jug,350,3
416,footchip,340,2
417,crimp,280,3
418,pinch,70,3
419,footchip,280,2
420,jug,0,3
421,crimp,120,3
422,footchip,280,2
423,crimp,310,2
424,jug,0,2
425,crimp,80,3
426,jug,0,1
427,jug,0,2
428,crimp,0,3
429,crimp,80,2
430,footchip,315,2
431,jug,310,1
432,crimp,90,3
433,footchip,0,2
434,crimp,0,1
435,jug,180,3
436,footchip,0,2
437,jug,0,1
438,crimp,40,2
439,footchip,0,2
440,pinch,45,3
441,jug,60,2
442,footchip,340,2
443,crimp,90,3
444,crimp,45,3
445,footchip,315,2
446,crimp,350,3
447,crimp,0,3
448,footchip,300,2
449,crimp,90,2
450,sloper,45,2
451,footchip,350,2
452,crimp,90,3
453,crimp,90,2
454,pinch,90,2
455,footchip,340,2
456,crimp,30,2
457,jug,340,3
458,footchip,340,2
459,crimp,50,3
460,pinch,315,3
461,footchip,340,2
462,crimp,0,2
463,crimp,90,3
464,footchip,340,2
465,crimp,0,2
466,jug,0,3
467,footchip,300,2
468,jug,90,2
469,crimp,40,2
470,footchip,270,2
471,crimp,330,2
472,crimp,45,2
473,crimp,270,2
474,pinch,70,2
475,jug,315,2
476,crimp,0,2
477,jug,270,3